Croatian,English
Kako si?,How are you?
Dobar dan,Good day
a ti Kako ste,how about you? how are you
Ani ne sviđa se ovdje,Ana doesn't like it here.
Ani se sviđa chips.,Ana likes chips.
Ani se sviđa Ivan.,Ana likes Ivan.
bila je,she was
bili smo,we were
bilo je,it was
bilo je tako zabavno,it was so much fun
bilo je u redu,it was okay
bilo mi je jako zabavno,i had so much fun
bilo nam je jako zabavno,we had so much fun
bio je,he was
Bio sam prilično dobar.,I've been pretty good.
"bio sam, bilo sam, bila sam","I was, I was, I was"
bok svima,hi everyone
bole me leđa,my back hurts
Bolestan sam,i am sick
boli me noga,my leg hurts
budalo,fool
"Čašu vina, molim","A glass of wine, please"
čekaj me,wait for me
čekali smo te,we were waiting for you
čekam autobus,im waiting for a bus
čekam Jakea,im waiting for jake
čekam jess,im waiting for jess
čekamo,we are waiting
čekamo vas,we are waiting for you
čekao/čekala sam ga,i waited for him
čestitam i sretno,congratulations and good luck
"cijeli dan, svaki dan, veliki pas","all day, every day, big dog"
cura,girl
Da idemo?,Should we go?
da li ti,do you
"da, i ja","yeah, me too"
"da, znam",yeah i know
daj mi svoj tanjur,give me your plate
dijete,child
"Dobar dan! želio bih kavu, molim","good day! i'd like a coffee, please"
Dodaj mi,pass me
dodaj mi svoj tanjur,pass me your plate
dođi,come over
dođi ovamo,come here
dolazim,im coming
Dolazim sada.,Coming now.
donesi mi svoj tanjur,get me your plate
donesite mi čašu molim vas,get me a glass please
dosadno mi je,im bored
evo,here
evo je pivo,here is the beer
evo me,here i am
"evo tvoje kave, uživaj","here’s your coffee, enjoy"
gdje bismo se trebali naći,where should we meet up
Gdje ga mogu pronaći?,Where can I find it?
gdje je dobro mjesto za jesti?,where is a good place to go to eat?
gdje je dobro mjesto za piće?,where is a good place to go drinking?
gdje je mjesto,where is the place
gdje je moj novčanik,where is my wallet
gdje je najbliži WC,where is the nearest toilet
gdje mogu naći WC,where can i find a toilet
gdje si,where are you?
gdje si bio,where were you?
gladan sam,i am hungry
"gladan sam, hajdemo jesti","i am hungry, let's eat"
gladni smo,we are hungy
gledam,i am watching
Glup si ko kurac,You're stupid as fuck.
glupane,stupid
Govorite li engleski,do you speak english
Govorite prebrzo.,You are speaking too fast.
Hej mala šta ima,"Hey baby, what's up?"
hoćeš li još kruha?,do you want more bread?
